gid,val,school,parking,home,mercantile,social,public,subway,val_2,val_3,bus_stops,drt,area,yn,total_tota,total_bus,frequency,score
다바660657,204.0000000000000000000000000000000,297.965261208316747,393.022587931861437,234.126850959679132,234.780105181876507,2859.828694459441977,390.458559107058250,522.337340762834287,41.0000000000000000000000000000000,0.0000000000000000000000000000000,73.042695337052876,6319.360663158917305,6206.522,1,12301,442,45,0.670623335769956
다바678774,369.0000000000000000000000000000000,1446.165237607944391,1128.193823581689912,80.327772547713963,2604.955728514303701,840.076679521127517,3142.286556779451530,2565.363180482970165,76.0000000000000000000000000000000,35.0000000000000000000000000000000,15.625946910962710,1098.506801386085499,4050.040,1,0,0,0,0.566044439481590
다바643667,0.0000000000000000000000000000000,167.068220820693369,254.331184232581307,613.199576824908490,100.882924395725922,1361.715999830845931,133.478996782480152,1936.769882960173845,0.0000000000000000000000000000000,0.0000000000000000000000000000000,95.844884696563909,5625.557453683290078,5239.721,1,0,0,15,0.607438415256040
다바678773,430.0000000000000000000000000000000,1375.547191039857580,1037.930471024856161,42.649081870439218,2699.795116565528588,910.536445547768494,3042.454846842088045,2583.711836979536201,71.0000000000000000000000000000000,31.0000000000000000000000000000000,85.179978223424442,1072.637223489128019,5414.708,0,0,0,0,0.611411527838803
다바659655,0.0000000000000000000000000000000,137.763917871552792,373.805053358141265,255.084961714745788,262.510943486222402,2974.724257968785878,208.276130679160531,744.557540275941847,0.0000000000000000000000000000000,0.0000000000000000000000000000000,157.527926105565797,6524.701039686661716,4107.611,1,12301,442,45,0.597060356299714
다바694653,0.0000000000000000000000000000000,245.151261882790834,81.478722636250083,117.229966719340013,60.138819780103255,799.877215840345457,67.049195200394706,2583.171243565320310,0.0000000000000000000000000000000,0.0000000000000000000000000000000,46.948196272598032,7387.085004200618641,5900.439,1,4936,288,54,0.661549930955107
다바653704,11.0000000000000000000000000000000,674.692952643825379,791.661214092153955,730.246091908530730,1672.357942877203186,2513.863460132025921,791.999933792910724,3350.727021769789644,0.0000000000000000000000000000000,0.0000000000000000000000000000000,111.513261921204460,1800.134551776206081,4888.841,1,0,0,12,0.587581894964674
다바696655,423.0000000000000000000000000000000,321.109898045621605,197.356607704358936,138.843318677868382,342.384014960254547,834.221369314776439,283.707939497721441,2608.983560987776400,44.0000000000000000000000000000000,42.0000000000000000000000000000000,165.001324271062884,7293.753474504720543,3066.395,1,4741,135,45,0.572046948829537
다바666672,844.0000000000000000000000000000000,189.579933804343170,275.798438559940507,258.554663071670063,767.690939884241629,2377.171253883035206,120.632318660406682,918.221126677092911,442.0000000000000000000000000000000,8.0000000000000000000000000000000,166.357057142256792,4820.057744868116060,4653.939,0,0,0,0,0.595508273449011
다바662658,214.0000000000000000000000000000000,163.769854600626189,547.906336221714128,273.338252192536345,273.781167905101313,2898.858940801466815,484.775268386891923,395.240916665394252,34.0000000000000000000000000000000,18.0000000000000000000000000000000,170.173681309158468,6212.603801034978460,3675.353,0,4555,75,44,0.580748174154409
다바657702,600.0000000000000000000000000000000,345.810921303897601,432.390596348041413,533.914940901654745,1586.709638550444879,2513.236456114284465,488.955031266079629,2973.844730090367193,63.0000000000000000000000000000000,98.0000000000000000000000000000000,26.835984350566044,1893.570865779923679,3070.719,1,0,0,72,0.593488802821513
다바655687,0.0000000000000000000000000000000,723.755773872853297,478.582994997027583,579.323023711944302,431.552930328408934,1287.331141080689122,528.652094294383005,2593.345208980751067,0.0000000000000000000000000000000,0.0000000000000000000000000000000,68.542752872818198,3406.840599389285217,7041.436,1,0,0,0,0.656178613658214
